150-500人,"午餐补助,绩效奖金,5A写字楼,环境高大上",5-10年,本科,数据分析师,20k-40k,喜团,杭州喜团科技有限公司
150-500人,"技能培训,节日礼物,年底双薪,带薪年假",1-3年,本科,数据分析师,10k-15k,Nascent,厦门南讯软件科技有限公司
500-2000人,"美女多,六险一金,快乐高效文化,绩效奖金",1-3年,本科,数据分析师,10k-20k,婚礼纪,杭州火烧云科技有限公司
50-150人,"年底双薪,股票期权,岗位晋升,扁平管理",3-5年,本科,数据分析,12k-20k,红花朵朵,杭州红花朵朵网络技术有限公司
150-500人,"专业红娘牵线,节日礼物,技能培训,岗位晋升",1-3年,本科,数据分析师,10k-15k,睿琪软件,杭州睿琪软件有限公司
150-500人,"年底双薪,专项奖金,提供三餐,便捷班车",5-10年,本科,资深数据分析师,25k-30k,神兔网络,杭州神兔网络科技有限公司
2000人以上,"技能培训,Geek,开放,扁平管理",3-5年,不限,数据分析师（BI方向）10-01-21,13k-25k,大搜车,杭州大搜车汽车服务有限公司
150-500人,"五险一金,周末双休,氛围超嗨,节日礼物",1-3年,本科,数据分析师,8k-12k,网营科技,杭州网营科技股份有限公司
150-500人,"节日礼物,带薪年假,年度旅游,定期体检",1-3年,本科,数据分析师,8k-15k,保险师 · 微易信息科技,杭州微易信息科技有限公司
150-500人,"绩效奖金,带薪年假,交通补助,午餐补助",3-5年,本科,数据分析师,10k-16k,崇汉科技,浙江崇汉信息科技有限公司
500-2000人,"节日礼物,专项奖金,带薪年假,扁平管理",3-5年,本科,数据分析师,15k-25k,51信用卡管家,杭州恩牛网络技术有限公司
500-2000人,"技能培训,年底双薪,节日礼物,绩效奖金",3-5年,本科,数据分析师(J10771),15k-25k,微医集团,微医集团（浙江）有限公司
50-150人,"岗位晋升,五险一金,股票期权,年终分红",不限,本科,数据分析师,6k-10k,昌宁号,云南昌宁号茶资源开发有限公司
2000人以上,"年终分红,绩效奖金,年底双薪,交通补助",3-5年,硕士,数据分析师,15k-30k,税友软件,税友软件集团股份有限公司
50-150人,"专项奖金,绩效奖金,岗位晋升,年度旅游",不限,本科,数据分析师,6k-10k,一片林网络,浙江一片林网络科技有限公司
150-500人,"股票期权,带薪年假,弹性工作,交通补助",5-10年,本科,资深数据分析师,15k-30k,霖梓控股,浙江霖梓控股有限公司
500-2000人,,1-3年,本科,数据分析师,8k-10k,格上出行,格上出行服务有限公司
50-150人,"绩效奖金,年终分红,弹性工作,五险一金",3-5年,本科,数据分析师,9k-15k,杭州祖瑜数据科技有限公司,杭州祖瑜数据科技有限公司
500-2000人,"技能培训,股票期权,绩效奖金,岗位晋升",3-5年,本科,数据分析师-杭州-00400,10k-20k,同盾科技,同盾科技有限公司
150-500人,,不限,本科,数据分析师,12k-24k,鲸灵集团,宁波鲸灵网络科技有限公司
500-2000人,"绩效奖金,五险一金,节日礼物,定期体检",3-5年,本科,数据分析师,15k-25k,光云科技,杭州光云科技股份有限公司
500-2000人,"节日礼物,技能培训,绩效奖金,年度旅游",1-3年,本科,数据分析师,10k-15k,森马电商,浙江森马电子商务有限公司
150-500人,"节日礼物,岗位晋升,年度旅游,扁平管理",3-5年,本科,资深数据分析,20k-35k,青团社,杭州弧途科技有限公司
2000人以上,"午餐补助,带薪年假,定期体检,年度旅游",3-5年,大专,数据分析专员,6k-9k,江南布衣,江南布衣服饰有限公司
2000人以上,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",3-5年,本科,数据分析师-企业SaaS应用,20k-40k,字节跳动,北京字节跳动科技有限公司
2000人以上,"节日礼物,年底双薪,股票期权,带薪年假",1-3年,大专,数据分析,6k-8k,华苏科技,南京华苏科技有限公司
150-500人,,3-5年,本科,数据分析师（业务）,10k-15k,牛富软件,湖北牛富软件有限公司
15-50人,,10年以上,不限,资深数据分析师,20k-40k,同盾信研,广州同盾信研科技有限公司
150-500人,"带薪年假,定期体检,丰厚年终奖金,午餐补助",3-5年,本科,资深数据分析师-杭州-00544,15k-30k,年糕妈妈,杭州智聪网络科技有限公司
50-150人,"开放式办公,扁平管理,带薪假期,弹性工作时间",3-5年,本科,资深数据分析师,15k-25k,多准大数据,杭州多准数据技术有限公司
50-150人,,3-5年,本科,数据分析专家,18k-28k,大箴（杭州）科技有限公司,大箴（杭州）科技有限公司
150-500人,"技能培训,节日礼物,年底双薪,带薪年假",1-3年,本科,数据分析师,6k-12k,Nascent,厦门南讯软件科技有限公司
500-2000人,"绩效奖金,股票期权,年底双薪,专项奖金",不限,不限,数据分析师（咨询部）,10k-15k,个推,浙江每日互动网络科技股份有限公司
500-2000人,"绩效奖金,股票期权,年底双薪,专项奖金",1-3年,本科,数据分析师,12k-24k,个推,浙江每日互动网络科技股份有限公司
50-150人,"开放式办公,扁平管理,带薪假期,弹性工作时间",5-10年,本科,数据分析总监,40k-50k,多准大数据,杭州多准数据技术有限公司
500-2000人,"两次加薪,弹性工作,期权丰厚,两次晋升",3-5年,本科,资深数据分析师,19k-28k,酷家乐,杭州群核信息技术有限公司
2000人以上,"年底双薪,带薪年假,股票期权,绩效奖金",5-10年,本科,数据分析专家,35k-50k,蚂蚁金服集团,支付宝（杭州）信息技术有限公司
500-2000人,"技能培训,领导好,美女多,帅哥多",3-5年,本科,资深数据分析师,20k-35k,中国婚博会,上海婚家婴会展服务有限公司成都分公司
150-500人,"股票期权,带薪年假,弹性工作,交通补助",3-5年,本科,高级数据分析师,15k-20k,霖梓控股,浙江霖梓控股有限公司
2000人以上,"交通补助,通讯津贴,年度旅游,年终奖",3-5年,不限,资深数据分析师,16k-25k,浙江执御信息技术有限公司,浙江执御信息技术有限公司
2000人以上,"交通补助,通讯津贴,年度旅游,年终奖",5-10年,本科,数据分析专家（商业）,20k-30k,浙江执御信息技术有限公司,浙江执御信息技术有限公司
500-2000人,"技能培训,股票期权,绩效奖金,岗位晋升",3-5年,本科,资深数据分析顾问-01508,10k-20k,同盾科技,同盾科技有限公司
2000人以上,"技能培训,Geek,开放,扁平管理",5-10年,本科,数据分析专家03-10-217,20k-40k,大搜车,杭州大搜车汽车服务有限公司
